id,name,category,price_tier,neighborhoods,opening_hour,closing_hour,average_rating ,good_for_kids
444,Demivee,Japanese,medium,midtown,10:59,20:00,2,true
445,Thoughtstorm,Chinese,medium,upper west side,10:59,20:00,2,true
446,Oba,Japanese,medium,upper west side,10:59,20:00,2,true
447,Flashspan,Indian,expensive,upper east side,10:59,20:00,3,false
448,Skibox,Chinese,medium,midtown,10:59,20:00,1,false
449,Photobug,American,cheap,down town,10:59,20:00,2,true
450,Yodo,Japanese,cheap,upper east side,10:59,20:00,5,true
451,Linktype,American,medium,upper east side,10:59,20:00,1,true
452,Youspan,Indian,expensive,upper west side,10:59,20:00,2,false
453,Devshare,Chinese,medium,upper west side,10:59,20:00,4,true
454,Livepath,Japanese,cheap,soho,10:59,20:00,5,false
455,Wordware,Japanese,cheap,midtown,10:59,20:00,5,false
456,Yoveo,Chinese,expensive,upper east side,10:59,20:00,5,false
457,Twiyo,Japanese,medium,soho,10:59,20:00,1,false
458,Bubbletube,Japanese,medium,soho,10:59,20:00,3,false
459,Jabbersphere,Chinese,cheap,upper east side,10:59,20:00,4,false
460,Mita,Indian,medium,soho,10:59,20:00,4,false
461,Topiclounge,Japanese,medium,soho,10:59,20:00,5,true
462,Skinix,Chinese,cheap,upper west side,10:59,20:00,3,true
463,Gabspot,American,medium,soho,10:59,20:00,4,true
464,Trunyx,Chinese,cheap,midtown,10:59,20:00,3,false
465,Zoomlounge,Chinese,medium,down town,10:59,20:00,5,false
466,Thoughtbridge,Indian,expensive,soho,10:59,20:00,5,false
467,Thoughtsphere,American,cheap,upper east side,10:59,20:00,2,false
468,Snaptags,Japanese,cheap,soho,10:59,20:00,2,false
469,Izio,American,medium,upper east side,10:59,20:00,1,false
470,Skyble,American,cheap,upper east side,10:59,20:00,2,true
471,Kayveo,American,cheap,upper east side,10:59,20:00,4,false
472,Rhybox,American,expensive,down town,10:59,20:00,4,false
473,Kazio,American,cheap,down town,10:59,20:00,2,true
474,LiveZ,Japanese,expensive,upper west side,10:59,20:00,4,false
475,Oyoloo,American,expensive,soho,10:59,20:00,4,true
476,Photobean,Indian,medium,down town,10:59,20:00,2,false
477,Muxo,American,cheap,upper west side,10:59,20:00,2,false
478,Browseblab,Japanese,expensive,midtown,10:59,20:00,5,true
479,Camido,Chinese,cheap,upper east side,10:59,20:00,3,true
480,Aimbu,Japanese,expensive,upper east side,10:59,20:00,2,true
481,Thoughtbeat,Japanese,cheap,midtown,10:59,20:00,4,false
482,Oyonder,Indian,medium,soho,10:59,20:00,4,true
483,Thoughtstorm,American,expensive,upper east side,10:59,20:00,2,true
484,Camido,Japanese,cheap,soho,10:59,20:00,5,false
485,Centidel,Japanese,cheap,down town,10:59,20:00,1,true
486,Pixoboo,Indian,cheap,upper east side,10:59,20:00,4,false
487,Zoozzy,Indian,medium,upper west side,10:59,20:00,1,false
488,Mybuzz,American,medium,soho,10:59,20:00,1,true
489,Kimia,Chinese,medium,upper west side,10:59,20:00,2,false
490,Realpoint,Indian,expensive,soho,10:59,20:00,1,false
491,Demivee,Japanese,expensive,upper west side,10:59,20:00,5,true
492,Aimbo,Indian,medium,upper east side,10:59,20:00,2,false
493,Jabbersphere,American,expensive,soho,10:59,20:00,4,false
494,Muxo,Japanese,expensive,down town,10:59,20:00,4,false
495,Skiba,Japanese,expensive,down town,11:00,20:00,3,true
496,Kwideo,American,medium,down town,10:59,20:00,2,false
497,Tagopia,Japanese,cheap,upper west side,10:59,20:00,1,false
498,Bubblemix,American,cheap,soho,10:59,20:00,3,true
499,Ozu,Chinese,expensive,midtown,10:59,20:00,3,false
500,Lazz,Indian,medium,upper east side,10:59,20:00,1,false
501,Tazz,Indian,cheap,midtown,10:59,20:00,5,false
502,Twitterlist,Indian,medium,midtown,10:59,20:00,3,false
503,Dabjam,American,cheap,upper east side,10:59,20:00,5,true
504,Rhycero,American,medium,down town,10:59,20:00,5,false
505,Voomm,Japanese,expensive,soho,10:59,20:00,4,false
506,Latz,Japanese,expensive,down town,10:59,20:00,2,false
507,Vimbo,Japanese,medium,upper east side,10:59,20:00,5,false
508,Gigabox,American,expensive,upper east side,10:59,20:00,2,true
509,Eadel,Chinese,cheap,upper west side,10:59,20:00,2,true
510,Flashset,Chinese,expensive,down town,10:59,20:00,4,true
511,Blogspan,Indian,cheap,midtown,10:59,20:00,1,true
512,Topiczoom,Japanese,cheap,soho,10:59,20:00,3,false
513,Innotype,Japanese,cheap,upper west side,11:00,20:00,1,true
514,Skiba,Indian,medium,soho,10:59,20:00,3,true
515,InnoZ,Chinese,cheap,midtown,10:59,20:00,5,false
516,Jatri,American,expensive,midtown,10:59,20:00,3,false
517,Vitz,Indian,medium,midtown,10:59,20:00,3,true
518,Zoomzone,Japanese,medium,soho,10:59,20:00,3,false
519,Realpoint,Japanese,medium,midtown,10:59,20:00,1,true
520,Wikivu,Japanese,expensive,midtown,10:59,20:00,5,true
521,Voonix,Chinese,expensive,midtown,10:59,20:00,2,false
522,Jaxbean,Indian,medium,upper east side,10:59,20:00,1,true
523,Podcat,Chinese,cheap,down town,10:59,20:00,5,true
524,Flashpoint,Chinese,cheap,down town,10:59,20:00,1,true
525,Geba,Chinese,cheap,upper west side,10:59,20:00,2,true
526,Dynazzy,Japanese,cheap,upper west side,10:59,20:00,4,true
527,Topdrive,Indian,cheap,down town,10:59,20:00,3,false
528,Dabtype,Indian,medium,upper east side,10:59,20:00,3,true
529,Oba,Japanese,expensive,upper east side,10:59,20:00,2,false
530,Tavu,Chinese,medium,upper west side,10:59,20:00,1,true
531,Katz,Chinese,expensive,upper west side,10:59,20:00,3,false
532,Quatz,Indian,cheap,upper east side,10:59,20:00,2,true
533,Ntags,Chinese,cheap,down town,10:59,20:00,4,true
534,Meedoo,Chinese,cheap,upper west side,10:59,20:00,2,true
535,Thoughtmix,Japanese,expensive,midtown,10:59,20:00,2,true
536,Gevee,Japanese,expensive,upper west side,10:59,20:00,2,true
537,Gigazoom,American,expensive,down town,10:59,20:00,1,false
538,Buzzshare,Japanese,medium,down town,10:59,20:00,2,false
539,Dynazzy,Japanese,cheap,upper east side,10:59,20:00,3,true
540,Avamm,American,expensive,upper west side,10:59,20:00,2,true
541,Gabspot,Indian,cheap,upper west side,10:59,20:00,4,true
542,Brainlounge,Chinese,expensive,upper east side,10:59,20:00,4,true
543,Innojam,Japanese,medium,down town,10:59,20:00,1,false
544,Vipe,Indian,cheap,upper west side,10:59,20:00,1,true
545,Oloo,Indian,expensive,down town,10:59,20:00,1,false
546,Bluezoom,Japanese,medium,soho,10:59,20:00,2,false
547,Babbleopia,American,expensive,soho,10:59,20:00,3,false
548,Edgewire,Indian,expensive,midtown,10:59,20:00,3,true
549,Skibox,Japanese,medium,midtown,10:59,20:00,5,true
550,Tavu,Chinese,medium,down town,10:59,20:00,2,true
551,Nlounge,Indian,medium,soho,10:59,20:00,5,false
552,Skyndu,American,cheap,down town,10:59,20:00,3,true
553,Wordpedia,Japanese,medium,midtown,10:59,20:00,1,true
554,Katz,Japanese,medium,soho,10:59,20:00,3,false
555,Dynabox,Chinese,medium,soho,10:59,20:00,3,true
556,Oodoo,Chinese,cheap,soho,11:00,20:00,4,false
557,Youspan,American,medium,upper east side,10:59,20:00,5,false
558,Eire,Indian,medium,down town,10:59,20:00,2,false
559,Ntags,Japanese,cheap,upper east side,10:59,20:00,5,false
560,Devcast,Indian,cheap,soho,10:59,20:00,2,false
561,Latz,Chinese,expensive,upper west side,10:59,20:00,1,false
562,Leexo,American,cheap,down town,10:59,20:00,4,true
563,Rhycero,Japanese,medium,midtown,10:59,20:00,4,false
564,Gigaclub,Chinese,expensive,down town,10:59,20:00,3,false
565,Rhynoodle,Chinese,expensive,down town,10:59,20:00,1,true
566,Dynabox,Indian,expensive,soho,10:59,20:00,4,false
567,Innojam,Japanese,cheap,down town,10:59,20:00,3,false
568,Feedmix,Indian,expensive,upper west side,10:59,20:00,4,false
569,Yamia,Indian,expensive,soho,10:59,20:00,2,false
570,Snaptags,Indian,expensive,upper east side,10:59,20:00,3,false
571,Vidoo,Chinese,cheap,midtown,10:59,20:00,4,false
572,Blogtags,Japanese,expensive,soho,10:59,20:00,4,false
573,Rhybox,American,medium,midtown,10:59,20:00,1,false
574,Jamia,Japanese,medium,upper west side,10:59,20:00,1,true
575,Gabspot,American,expensive,upper west side,10:59,20:00,3,true
576,Devpoint,Indian,expensive,midtown,10:59,20:00,4,false
577,Trupe,Indian,cheap,down town,10:59,20:00,3,true
578,Geba,American,cheap,soho,10:59,20:00,2,false
579,Kwideo,Indian,expensive,upper east side,10:59,20:00,2,false
580,Fivechat,Chinese,medium,soho,10:59,20:00,2,false
581,Browsecat,Chinese,expensive,upper west side,10:59,20:00,5,false
582,Brightdog,Japanese,cheap,upper east side,10:59,20:00,3,true
583,Oozz,Indian,cheap,soho,10:59,20:00,3,true
584,Dabvine,Indian,expensive,down town,10:59,20:00,2,true
585,Mybuzz,Indian,cheap,soho,10:59,20:00,1,false
586,Ooba,American,medium,upper west side,10:59,20:00,4,true
587,Kanoodle,American,expensive,midtown,10:59,20:00,1,true
588,Jetwire,Chinese,cheap,soho,10:59,20:00,2,true
589,Realcube,Indian,medium,soho,10:59,20:00,5,true
590,Zoozzy,Chinese,medium,upper west side,10:59,20:00,4,false
591,Realbuzz,Japanese,cheap,upper west side,10:59,20:00,3,true
592,Vidoo,Japanese,medium,upper west side,10:59,20:00,1,false
593,Jabbersphere,Japanese,expensive,upper west side,10:59,20:00,3,true
594,Brightbean,Japanese,cheap,upper west side,10:59,20:00,5,false
595,Centizu,Chinese,medium,down town,10:59,20:00,2,true
596,Jaxspan,Chinese,expensive,midtown,10:59,20:00,1,true
597,Mita,Chinese,medium,midtown,10:59,20:00,3,false
598,Brainsphere,American,cheap,upper east side,10:59,20:00,3,true
599,Vitz,Indian,medium,midtown,10:59,20:00,5,false
600,Yamia,Indian,cheap,midtown,10:59,20:00,1,false
601,Avaveo,Chinese,expensive,upper east side,10:59,20:00,5,true
602,Wikido,American,medium,down town,10:59,20:00,2,false
603,Flipbug,Japanese,cheap,midtown,10:59,20:00,4,true
604,Blogspan,Indian,cheap,soho,10:59,20:00,4,true
605,Bubblemix,Chinese,expensive,soho,10:59,20:00,1,false
606,Youspan,Japanese,expensive,upper west side,10:59,20:00,1,true
607,Pixoboo,American,medium,upper east side,10:59,20:00,3,true
608,Jayo,Chinese,medium,soho,10:59,20:00,3,false
609,Jabberstorm,Chinese,medium,midtown,10:59,20:00,3,false
610,Dabjam,Japanese,cheap,upper west side,10:59,20:00,1,false
611,Twitterlist,American,cheap,upper west side,10:59,20:00,2,false
612,Devcast,Japanese,cheap,upper east side,10:59,20:00,4,true
613,Kamba,Chinese,medium,down town,10:59,20:00,4,true
614,Mymm,Indian,cheap,midtown,10:59,20:00,2,true
615,Meemm,American,expensive,down town,10:59,20:00,1,false
616,Thoughtstorm,Japanese,medium,down town,10:59,20:00,1,false
617,Dabvine,Japanese,cheap,upper west side,10:59,20:00,4,false
618,Edgewire,American,expensive,midtown,10:59,20:00,3,false
619,Browsezoom,Indian,medium,upper west side,10:59,20:00,2,false
620,Twitterwire,American,medium,midtown,10:59,20:00,4,false
621,Skyba,Japanese,medium,soho,10:59,20:00,4,true
622,Tagopia,Chinese,expensive,upper west side,10:59,20:00,1,false
623,Npath,Indian,expensive,upper west side,10:59,20:00,4,true
624,Browsetype,American,cheap,midtown,10:59,20:00,2,true
625,Yoveo,Chinese,expensive,soho,10:59,20:00,5,false
626,Twitterworks,Chinese,medium,upper west side,10:59,20:00,2,true
627,Edgeclub,Japanese,medium,upper west side,10:59,20:00,2,false
628,Ntags,Japanese,medium,upper west side,10:59,20:00,4,false
629,Zoozzy,Chinese,cheap,upper west side,10:59,20:00,2,true
630,Brainverse,Indian,medium,soho,10:59,20:00,3,true
631,Oyoyo,Chinese,cheap,soho,10:59,20:00,2,true
632,Photobean,Chinese,expensive,midtown,10:59,20:00,4,false
633,Brainsphere,American,medium,upper east side,10:59,20:00,1,false
634,Twimm,Indian,cheap,soho,10:59,20:00,1,false
635,Eamia,Japanese,expensive,upper west side,10:59,20:00,5,false
636,Photolist,American,expensive,upper west side,10:59,20:00,3,true
637,Digitube,Indian,medium,upper east side,10:59,20:00,3,false
638,Dabfeed,American,cheap,upper west side,10:59,20:00,5,false
639,Yambee,Indian,cheap,down town,10:59,20:00,4,true
640,Flipopia,Chinese,expensive,upper west side,10:59,20:00,4,false
641,Meembee,Chinese,medium,soho,10:59,20:00,1,true
642,Ntags,Chinese,medium,upper west side,10:59,20:00,3,false
643,Dabshots,Japanese,medium,upper east side,10:59,20:00,2,false
644,Skyba,Chinese,expensive,down town,10:59,20:00,5,true
645,Wordify,American,cheap,midtown,10:59,20:00,1,true
646,Roomm,American,cheap,upper west side,10:59,20:00,4,true
647,Lazzy,American,medium,down town,10:59,20:00,4,false
648,Shuffledrive,Indian,medium,upper east side,10:59,20:00,1,false
649,Oozz,Chinese,medium,down town,10:59,20:00,3,true
650,Skipfire,Chinese,medium,down town,10:59,20:00,5,true
651,BlogXS,American,cheap,midtown,10:59,20:00,1,true
652,Kimia,Indian,medium,down town,10:59,20:00,2,true
653,Shufflebeat,American,medium,upper west side,10:59,20:00,3,false
654,Twinder,Japanese,medium,down town,10:59,20:00,3,false
655,Talane,Indian,cheap,down town,10:59,20:00,5,true
656,Zava,American,cheap,upper east side,10:59,20:00,2,true
657,Twitterworks,Japanese,expensive,midtown,10:59,20:00,1,true
658,Wikizz,Japanese,cheap,upper east side,10:59,20:00,5,true
659,Topicstorm,Indian,expensive,upper west side,10:59,20:00,1,true
660,Lazzy,American,medium,soho,10:59,20:00,5,true
661,Blogtags,Indian,expensive,soho,10:59,20:00,5,false
662,Dabjam,Indian,medium,soho,10:59,20:00,5,false
663,Meeveo,Indian,cheap,upper east side,10:59,20:00,1,true
664,Eayo,Indian,cheap,upper east side,10:59,20:00,1,false
665,Pixonyx,Chinese,expensive,soho,10:59,20:00,4,false
666,Skiba,American,expensive,upper east side,10:59,20:00,5,true
667,Gabtype,American,cheap,upper east side,10:59,20:00,3,true
668,Topicblab,American,cheap,midtown,10:59,20:00,3,false
669,Vidoo,Japanese,expensive,soho,10:59,20:00,4,true
670,Jabbersphere,Chinese,cheap,down town,10:59,20:00,1,false
671,Browsetype,Indian,cheap,midtown,10:59,20:00,1,false
672,Mynte,Indian,cheap,down town,10:59,20:00,4,false
673,Trilith,American,expensive,midtown,10:59,20:00,4,false
674,Kamba,Indian,cheap,soho,10:59,20:00,5,true
675,Roodel,Japanese,medium,upper east side,10:59,20:00,4,true
676,Voonder,Chinese,medium,soho,10:59,20:00,4,false
677,Twitternation,Japanese,expensive,soho,10:59,20:00,5,true
678,Photospace,Chinese,medium,midtown,10:59,20:00,2,false
679,Riffpedia,Indian,medium,upper west side,10:59,20:00,1,false
680,Wordify,Japanese,medium,upper east side,10:59,20:00,1,true
681,Zoonder,American,medium,midtown,10:59,20:00,2,false
682,Oyope,Indian,expensive,midtown,10:59,20:00,3,true
683,Brainverse,Chinese,medium,soho,10:59,20:00,1,false
684,Rhyloo,Indian,cheap,soho,10:59,20:00,2,false
685,Yodel,Indian,cheap,upper west side,10:59,20:00,1,true
686,Meeveo,Japanese,cheap,down town,10:59,20:00,1,false
687,Voonyx,Indian,expensive,upper east side,10:59,20:00,3,false
688,Skibox,American,expensive,soho,10:59,20:00,2,true
689,Yombu,Japanese,medium,upper west side,10:59,20:00,4,true
690,Kaymbo,American,cheap,midtown,10:59,20:00,3,false
691,Trilith,Indian,medium,down town,10:59,20:00,4,true
692,Twitterwire,Chinese,medium,down town,10:59,20:00,1,false
693,Eamia,Chinese,medium,upper west side,10:59,20:00,5,true
694,Zava,Japanese,medium,upper east side,10:59,20:00,3,true
695,Bubbletube,Japanese,cheap,soho,10:59,20:00,4,true
696,Pixope,Indian,medium,midtown,10:59,20:00,1,true
697,Rhynoodle,American,cheap,upper east side,10:59,20:00,5,true
698,Buzzbean,Japanese,cheap,down town,10:59,20:00,4,false
699,Gabtype,Chinese,expensive,down town,10:59,20:00,2,true
700,Flashset,American,medium,midtown,10:59,20:00,4,true
701,Flashdog,Chinese,expensive,midtown,10:59,20:00,5,true
702,Jaloo,Chinese,expensive,down town,10:59,20:00,5,false
703,Wordify,Japanese,medium,upper west side,10:59,20:00,3,true
704,Realblab,American,expensive,upper east side,10:59,20:00,1,true
705,Quaxo,Japanese,expensive,soho,10:59,20:00,3,false
706,Roomm,Chinese,cheap,upper west side,10:59,20:00,3,false
707,Divape,American,cheap,soho,10:59,20:00,5,true
708,Buzzdog,Indian,cheap,down town,10:59,20:00,3,false
709,Photolist,Chinese,cheap,upper east side,10:59,20:00,3,false
710,Muxo,American,expensive,upper east side,10:59,20:00,2,true
711,Babblestorm,Chinese,medium,upper east side,10:59,20:00,4,false
712,Zooxo,Chinese,medium,down town,10:59,20:00,3,true
713,Pixonyx,American,cheap,soho,10:59,20:00,5,false
714,Edgeclub,Japanese,cheap,down town,10:59,20:00,1,false
715,Aivee,Chinese,cheap,upper east side,10:59,20:00,2,true
716,Twitterwire,Chinese,cheap,upper west side,10:59,20:00,4,true
717,Thoughtstorm,Chinese,expensive,upper east side,10:59,20:00,3,true
718,Fivebridge,Indian,cheap,soho,10:59,20:00,5,true
719,Dabvine,American,cheap,upper east side,10:59,20:00,1,true
720,Blogtag,Indian,expensive,upper east side,10:59,20:00,4,false
721,Quinu,American,expensive,soho,10:59,20:00,3,false
722,Lazz,Indian,cheap,upper west side,10:59,20:00,2,true
723,Dynazzy,American,cheap,soho,10:59,20:00,4,false
724,Devify,Chinese,expensive,upper east side,10:59,20:00,5,false
725,Cogidoo,Indian,expensive,upper east side,10:59,20:00,1,false
726,Demivee,Japanese,cheap,down town,10:59,20:00,1,true
727,Trilia,American,medium,down town,10:59,20:00,3,true
728,JumpXS,American,expensive,midtown,10:59,20:00,4,false
729,Jatri,Chinese,expensive,upper west side,10:59,20:00,2,false
730,Mybuzz,Japanese,medium,midtown,10:59,20:00,4,true
731,Lazz,Indian,expensive,midtown,10:59,20:00,2,true
732,Gevee,American,cheap,down town,10:59,20:00,3,false
733,Innotype,Chinese,medium,soho,10:59,20:00,2,false
734,Yabox,American,medium,upper west side,10:59,20:00,3,true
735,Shuffledrive,Chinese,cheap,soho,10:59,20:00,5,false
736,Blognation,Indian,medium,upper east side,10:59,20:00,1,false
737,Flashdog,Indian,medium,soho,10:59,20:00,3,true
738,Divavu,American,cheap,upper west side,10:59,20:00,4,true
739,Photospace,Japanese,expensive,soho,10:59,20:00,1,false
740,Flashspan,Chinese,medium,midtown,10:59,20:00,4,true
741,Oyondu,Indian,cheap,soho,10:59,20:00,4,true
742,Brightbean,American,medium,upper west side,10:59,20:00,4,false
743,Gigaclub,Indian,expensive,upper west side,10:59,20:00,5,false
744,Teklist,Indian,medium,soho,10:59,20:00,3,true
745,Fanoodle,Chinese,medium,down town,10:59,20:00,5,true
746,Quinu,Japanese,expensive,midtown,11:00,20:00,3,false
747,Eazzy,Indian,expensive,upper east side,10:59,20:00,1,true
748,Agivu,Chinese,cheap,upper east side,10:59,20:00,4,false
749,Feedfish,Indian,expensive,soho,10:59,20:00,3,true
750,Zoombeat,Indian,cheap,upper west side,10:59,20:00,3,true
751,Mydo,Chinese,cheap,upper east side,10:59,20:00,4,false
752,Mita,American,medium,upper east side,10:59,20:00,1,false
753,Devify,Chinese,medium,down town,10:59,20:00,1,false
754,Yozio,American,medium,upper west side,10:59,20:00,3,true
755,Avamm,Chinese,medium,soho,10:59,20:00,1,false
756,Kare,American,medium,soho,10:59,20:00,4,false
757,Skyvu,American,medium,soho,10:59,20:00,1,false
758,Eadel,Chinese,cheap,upper east side,10:59,20:00,1,false
759,Topiczoom,Indian,medium,upper west side,10:59,20:00,1,false
760,Skidoo,Japanese,medium,upper west side,10:59,20:00,5,false
761,Yodo,Indian,expensive,down town,10:59,20:00,4,false
762,Ooba,Japanese,cheap,upper west side,10:59,20:00,2,true
763,Roodel,American,medium,upper east side,10:59,20:00,5,false
764,Feedbug,Indian,medium,upper east side,10:59,20:00,4,true
765,Tagtune,American,cheap,upper east side,10:59,20:00,3,true
766,Talane,Indian,cheap,midtown,10:59,20:00,2,false
767,Meeveo,Chinese,medium,midtown,10:59,20:00,4,false
768,Dazzlesphere,Indian,medium,down town,10:59,20:00,2,true
769,Dynazzy,Indian,expensive,midtown,10:59,20:00,5,false
770,Tagcat,Indian,medium,midtown,10:59,20:00,1,false
771,Camimbo,Chinese,cheap,upper west side,10:59,20:00,1,false
772,Fliptune,Indian,cheap,upper east side,10:59,20:00,3,true
773,Yakidoo,Japanese,medium,midtown,10:59,20:00,5,false
774,Rhyloo,Indian,expensive,down town,10:59,20:00,3,false
775,Livetube,American,medium,upper west side,10:59,20:00,1,true
776,Eabox,Indian,expensive,upper east side,10:59,20:00,4,true
777,Skyvu,Japanese,cheap,upper east side,10:59,20:00,3,true
778,Trilia,Japanese,medium,upper west side,10:59,20:00,2,false
779,Izio,American,expensive,upper west side,10:59,20:00,2,false
780,Skiba,American,medium,down town,10:59,20:00,3,true
781,Bluezoom,Chinese,medium,soho,10:59,20:00,3,true
782,Zoovu,American,medium,upper east side,10:59,20:00,3,false
783,Thoughtbridge,Indian,cheap,down town,10:59,20:00,1,true
784,Gabspot,Chinese,expensive,upper west side,10:59,20:00,2,true
785,Quatz,American,cheap,upper west side,10:59,20:00,4,true
786,Roodel,Indian,expensive,midtown,10:59,20:00,2,false
787,Devpulse,American,expensive,down town,10:59,20:00,5,true
788,Gigazoom,Chinese,cheap,down town,10:59,20:00,4,true
789,Yacero,Chinese,cheap,down town,10:59,20:00,3,true
790,Yakitri,Japanese,cheap,soho,10:59,20:00,5,true
791,Youspan,Chinese,expensive,upper east side,10:59,20:00,5,false
792,Jabbersphere,Chinese,cheap,upper east side,10:59,20:00,3,false
793,Katz,Chinese,cheap,down town,10:59,20:00,2,false
794,Lajo,Chinese,medium,down town,10:59,20:00,2,false
795,Tagpad,Japanese,cheap,midtown,10:59,20:00,5,false
796,Photofeed,Japanese,medium,upper west side,10:59,20:00,5,false
797,Meevee,Chinese,expensive,down town,10:59,20:00,3,false
798,Blogtags,Chinese,cheap,soho,10:59,20:00,5,true
799,Blogspan,Japanese,cheap,midtown,10:59,20:00,5,false
800,Thoughtmix,Japanese,cheap,down town,10:59,20:00,3,true
801,Rooxo,American,cheap,midtown,10:59,20:00,3,true
802,Voolia,Chinese,medium,down town,10:59,20:00,1,true
803,Realmix,Japanese,medium,upper west side,10:59,20:00,1,false
804,Mudo,Chinese,expensive,down town,10:59,20:00,1,false
805,Wikizz,American,expensive,down town,10:59,20:00,3,false
806,Omba,Japanese,expensive,upper east side,10:59,20:00,4,true
807,Blogpad,Indian,medium,soho,10:59,20:00,4,true
808,Quatz,American,medium,upper west side,10:59,20:00,1,true
809,Zazio,Indian,cheap,upper west side,10:59,20:00,4,false
810,Skippad,Chinese,medium,upper east side,10:59,20:00,4,false
811,Jabbersphere,Indian,cheap,upper east side,10:59,20:00,3,true
812,Innojam,American,cheap,upper west side,10:59,20:00,5,false
813,Jabbersphere,Japanese,medium,down town,10:59,20:00,1,false
814,Abatz,Indian,medium,soho,10:59,20:00,2,true
815,Demivee,American,medium,midtown,10:59,20:00,3,false
816,Yozio,Chinese,medium,down town,10:59,20:00,5,true
817,Divape,American,expensive,upper west side,10:59,20:00,1,false
818,LiveZ,American,expensive,upper east side,10:59,20:00,2,true
819,Twitterworks,Japanese,cheap,upper west side,10:59,20:00,4,true
820,Livepath,Chinese,medium,upper west side,10:59,20:00,3,false
821,Wordware,Chinese,expensive,soho,10:59,20:00,5,true
822,Browsebug,Indian,expensive,down town,10:59,20:00,5,true
823,Blogtag,American,cheap,down town,10:59,20:00,3,true
824,Gigazoom,Japanese,medium,upper east side,10:59,20:00,5,true
825,Topdrive,Chinese,cheap,down town,10:59,20:00,2,true
826,Kayveo,Japanese,cheap,upper west side,10:59,20:00,3,true
827,Youopia,Japanese,expensive,midtown,10:59,20:00,5,false
828,Centimia,Indian,cheap,upper west side,10:59,20:00,1,true
829,Pixoboo,Indian,expensive,upper east side,10:59,20:00,5,true
830,Feedfish,American,expensive,down town,10:59,20:00,3,true
831,Devcast,American,medium,midtown,10:59,20:00,5,false
832,Voonder,Chinese,cheap,upper west side,10:59,20:00,2,false
833,Dabtype,Japanese,expensive,upper east side,10:59,20:00,1,false
834,Snaptags,American,medium,soho,10:59,20:00,5,false
835,Devbug,Indian,cheap,soho,10:59,20:00,5,false
836,Plajo,American,expensive,midtown,10:59,20:00,5,true
837,Realblab,American,expensive,midtown,10:59,20:00,4,false
838,Gigazoom,Indian,cheap,upper west side,10:59,20:00,1,false
839,Demivee,Japanese,expensive,midtown,10:59,20:00,1,false
840,Riffwire,American,expensive,midtown,10:59,20:00,4,false
841,Innojam,Japanese,cheap,upper east side,10:59,20:00,4,true
842,Skinix,American,medium,upper west side,10:59,20:00,1,true
843,Oyoloo,Chinese,cheap,soho,10:59,20:00,4,true
844,Skippad,Indian,medium,down town,10:59,20:00,5,false
845,Skippad,American,expensive,upper east side,10:59,20:00,1,true
846,Kaymbo,American,expensive,midtown,10:59,20:00,3,true
847,DabZ,American,medium,upper east side,10:59,20:00,2,false
848,Mynte,Chinese,medium,upper west side,10:59,20:00,5,false
849,Muxo,American,expensive,upper east side,11:00,20:00,4,true
850,Dabfeed,Japanese,cheap,upper east side,10:59,20:00,1,true
851,Devpoint,American,cheap,midtown,10:59,20:00,4,true
852,Bubbletube,American,expensive,soho,10:59,20:00,5,false
853,Kazu,American,cheap,soho,10:59,20:00,3,true
854,Realfire,Japanese,cheap,upper east side,10:59,20:00,1,true
855,Kanoodle,Indian,cheap,upper east side,10:59,20:00,4,false
856,Demizz,Japanese,expensive,upper west side,10:59,20:00,5,false
857,Gigashots,Indian,cheap,upper east side,10:59,20:00,1,false
858,Jetpulse,American,expensive,upper east side,10:59,20:00,2,false
859,Lazz,American,medium,soho,10:59,20:00,2,true
860,Ntag,Indian,cheap,soho,10:59,20:00,5,true
861,Gabcube,Indian,medium,down town,10:59,20:00,4,true
862,Quamba,Japanese,medium,down town,10:59,20:00,3,false
863,Skiba,Indian,expensive,down town,10:59,20:00,3,true
864,Photobug,Japanese,expensive,upper west side,10:59,20:00,4,false
865,Photojam,Japanese,medium,upper east side,10:59,20:00,2,true
866,Yozio,Japanese,expensive,upper east side,10:59,20:00,5,true
867,Cogibox,Japanese,expensive,upper west side,10:59,20:00,4,false
868,Plambee,Japanese,expensive,upper east side,10:59,20:00,5,false
869,Zoonder,American,cheap,upper east side,10:59,20:00,3,false
870,Devcast,Indian,medium,midtown,10:59,20:00,4,true
871,Fivespan,Indian,medium,upper east side,10:59,20:00,1,false
872,Tagopia,American,medium,midtown,10:59,20:00,4,true
873,Camimbo,Chinese,expensive,upper west side,10:59,20:00,2,true
874,Eare,Japanese,expensive,down town,10:59,20:00,2,false
875,Avamm,Japanese,medium,upper east side,10:59,20:00,3,true
876,Wikizz,Indian,medium,soho,10:59,20:00,4,false
877,Kwimbee,Chinese,cheap,midtown,11:00,20:00,1,true
878,Zoonoodle,Japanese,cheap,soho,10:59,20:00,2,true
879,Vitz,Japanese,expensive,soho,10:59,20:00,3,true
880,Vipe,Japanese,medium,soho,10:59,20:00,1,false
881,Topicware,Indian,medium,down town,10:59,20:00,1,false
882,Chatterbridge,Japanese,expensive,soho,10:59,20:00,1,true
883,Lajo,American,medium,midtown,10:59,20:00,4,true
884,Realmix,Indian,medium,soho,10:59,20:00,4,true
885,Fivespan,Indian,cheap,upper west side,10:59,20:00,4,true
886,Fliptune,American,expensive,midtown,10:59,20:00,5,true
